Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Агентство недвижимости,,Агентства недвижимости,"улица Победы, 48 лит А",15 офис; 2 этаж,414040,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,,+04:00,,,89170906902,,,,,,,,,,,,,,,46.353651,48.057934,https://2gis.com/firm/70000001115677635,branch
Агентство недвижимости,,Агентства недвижимости,"Боевая улица, 57а",3 этаж,414045,Автогородок м-н,Советский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+04:00,,,89246910108,89086080662,,,,,,,,,,,,,,46.332541,48.022667,https://2gis.com/firm/70000001112425492,branch
Агентство недвижимости,,Агентства недвижимости; Оформление недвижимости,"улица Героев, 119",4 офис,416410,,,,Лиманский муниципальный округ,Астраханская область,Россия,Пн: 08:00-16:00; Вт: 08:00-16:00; Ср: 08:00-16:00; Чт: 08:00-16:00; Пт: 08:00-16:00,+04:00,,,89272857227,89021126512,,,,,,,,,,,,,,45.787033,47.225468,https://2gis.com/firm/70000001105020617,branch
Агентство недвижимости,,Агентства недвижимости,"улица Бабаевского, 33",1 этаж,414032,Бабаевского м-н,Ленинский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-14:00 (по предварительному звонку),+04:00,,,89275610105,89275561732,,,,,,,https://wa.me/79275610105,,,,,,,46.400266,48.095266,https://2gis.com/firm/70000001007544810,branch
Агентство недвижимости,ИП Алышева М. И.,Агентства недвижимости; Оформление недвижимости; Помощь в оформлении ипотеки,"Советская улица, 7",9 кабинет; 2 этаж,414000,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+04:00,5.0,70,88512200012,89648812111,,,,,,,https://wa.me/79648812111,,,,https://t.me/+79648812111,,,46.349478,48.037698,https://2gis.com/firm/70000001093490046,branch
Агентство недвижимости,ИП Плотников Д.В.,Агентства недвижимости; Оформление недвижимости; Недвижимость за рубежом; Помощь в оформлении ипотеки; Юридические услуги,,,,,,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+04:00,5.0,10,89270701555,89053634254,,,,,,https://vk.com/id134299509,https://wa.me/79270701555,,,,https://t.me/+79270701555,,,,,https://2gis.com/firm/70000001087612584,branch
Агентство недвижимости,ИП Рыбакова К.В.,Агентства недвижимости,"Адмиралтейская улица, 15",3 этаж,414000,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+04:00,5.0,7,89673399606,,,,,,,https://vk.com/kristall_30,https://wa.me/79673399606,https://wa.me/79673399600,,,,,,46.351039,48.030527,https://2gis.com/firm/70000001112490848,branch
Агентство недвижимости Марии Черновой,,Агентства недвижимости; Юридические услуги; Оформление недвижимости,"улица Савушкина, 43",301 офис; 3 этаж,414056,,Ленинский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+04:00,4.9,36,89275671085 (единая справочная: пн-пт 9:00-20:00),,,,,,,https://vk.com/m.chernova85,https://wa.me/79275671085,,,,https://t.me/+79275671085,,https://youtube.com/@Maria_Chernova85,46.36304,48.04841,https://2gis.com/firm/70000001076471365,branch
Адреса,агентство недвижимости,Агентства недвижимости,"улица Ширяева, 7",109 офис,414024,,Советский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+04:00,,,89171767868,89168639903,,,,,,,,,,,,,,46.326967,48.028245,https://2gis.com/firm/70000001116130455,branch
Азбука жилья,многопрофильная фирма,Агентства недвижимости; Оформление недвижимости; Юридические услуги; Помощь в оформлении ипотеки,"улица Бабефа, 8",27 офис; 1 этаж,414014,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 08:30-18:00; Вт: 08:30-18:00; Ср: 08:30-18:00; Чт: 08:30-18:00; Пт: 08:30-18:00,+04:00,4.7,26,88512733500,89171855777,,,,,,,https://wa.me/79171855777,,,,https://t.me/+79171855777,,,46.34385,48.010962,https://2gis.com/firm/1126428187899658,branch
Альянс,юридическая служба по работе с недвижимостью,Агентства недвижимости; Оценка собственности,"улица Андреева, 1",1 этаж,416500,,,Ахтубинск,Ахтубинский район,Астраханская область,Россия,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00 (по предварительному звонку)",+04:00,,,88514130694,89021136755,,,,,,,,,,,,,,48.289312,46.163953,https://2gis.com/firm/70000001058930518,branch
Белый город,агентство недвижимости,Агентства недвижимости; Юридические услуги; Помощь в оформлении ипотеки; Страхование; Оформление недвижимости,"улица Ленина, 20",36 кабинет; 2 этаж,414000,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+04:00,5.0,100,88512200990,89678319710,,,,,,,https://wa.me/79881735253,,,,,,,46.347269,48.037612,https://2gis.com/firm/70000001078574233,branch
Белый Лис,агентство недвижимости,Агентства недвижимости; Юридические услуги; Помощь в оформлении ипотеки; Страхование,"улица Николая Островского, 117а",1 офис; 3 этаж,414057,,Советский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+04:00,5.0,21,88512422224,88512417418,,,,,,,https://wa.me/78512422224,https://wa.me/78512417418,,,,,,46.334964,48.042631,https://2gis.com/firm/70000001083364043,branch
Ваш дом,агентство недвижимости,Агентства недвижимости,"улица Жуковского, 11",1 этаж,416501,,,Ахтубинск,Ахтубинский район,Астраханская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+04:00,,,89054818186,,,,,,,,https://wa.me/79054818186,,,,,,,48.284653,46.168851,https://2gis.com/firm/70000001102645756,branch
Ваш риелтор,агентство недвижимости,Агентства недвижимости; Оформление недвижимости; Помощь в оформлении ипотеки,"улица Набережная Приволжского затона, 20",3 офис; 2 этаж,414014,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,"Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 09:00-12:00; Вс: 09:00-12:00 (по предварительной записи: сб, вс)",+04:00,5.0,2,89616554899,,,,,,,,https://wa.me/79616554899,,,,https://t.me/puchkoval,,,46.338295,48.007337,https://2gis.com/firm/70000001095687683,branch
Ваш юрист,,Агентства недвижимости; Юридические услуги,"улица Панфилова, 31",5 офис; 2 этаж,416500,,,Ахтубинск,Ахтубинский район,Астраханская область,Россия,Пн: 13:30-18:30; Вт: 13:30-18:30; Ср: 13:30-18:30; Чт: 13:30-18:30; Пт: 13:30-18:30,+04:00,,,89093740339,89171726797,,,,,,,,,,,,,,48.291734,46.163324,https://2gis.com/firm/70000001102611129,branch
Вертикаль+,,Агентства недвижимости; Оформление недвижимости; Помощь в оформлении ипотеки,"Минусинская улица, 7",308 офис; 3 этаж,414047,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00,+04:00,5.0,4,89086104222,89880610818,,,,,,,https://wa.me/79086104222,,,,https://t.me/+79086104222,,,46.360687,48.066174,https://2gis.com/firm/70000001104652781,branch
Вершина,агентство недвижимости,Агентства недвижимости,"улица Шаумяна, 63",1 этаж,414000,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-15:00,+04:00,3.3,32,89608647996,89627532090,,,,,,,,,,,,,,46.346696,48.039784,https://2gis.com/firm/1126428187886640,branch
Городская служба недвижимости,,Агентства недвижимости; Оформление недвижимости; Помощь в оформлении ипотеки; Юридические услуги,"улица Савушкина, 4 к1",06 офис; 1 этаж,414056,,Ленинский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительному звонку),+04:00,3.0,2,89171881194,89170980802,,,,,,https://vk.com/public180343515,https://wa.me/79170980802,https://wa.me/79171881194,,,,,,46.377956,48.049818,https://2gis.com/firm/1126428187825785,branch
Деловая недвижимость,,Агентства недвижимости,"Зелёная улица, 68Б",2 этаж; левое крыло,414041,,Ленинский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,"Пн: 08:30-12:30, 13:00-17:00; Вт: 08:30-12:30, 13:00-17:00; Ср: 08:30-12:30, 13:00-17:00; Чт: 08:30-12:30, 13:00-17:00; Пт: 08:30-12:30, 13:00-17:00 (по предварительному звонку)",+04:00,,,89170882282,,,,,,,,https://wa.me/79170882282,,,,,,,46.36221,48.070217,https://2gis.com/firm/70000001035855240,branch
Диалог,агентство недвижимости,Агентства недвижимости; Помощь в оформлении ипотеки; Страхование; Контрольно-кассовая техника; Строительство дач и коттеджей,"Адмиралтейская улица, 46 ст2",4 офис; 2 этаж,414040,,Ленинский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 10:00-16:00 (по предварительному звонку),+04:00,5.0,17,89270790200,,,,,,,https://vk.com/andialog30,,,,,https://t.me/sanek1970,,,46.359108,48.038236,https://2gis.com/firm/70000001037125693,branch
Доверие,агентство недвижимости,Агентства недвижимости; Оформление недвижимости,"улица Победы, 53",101 офис; 1 этаж,414040,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+04:00,5.0,555,89050602891,89270748931,88512200630,,,,,,https://wa.me/79050602891,,,,,,,46.353717,48.056347,https://2gis.com/firm/70000001060888965,branch
Дом агента,комьюнити экспертов по недвижимости,Агентства недвижимости; Оформление недвижимости; Юридические услуги; Помощь в оформлении ипотеки; Страхование,"Адмиралтейская улица, 15",1 этаж,414000,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+04:00,5.0,21,89962108344,,,amina.bairamalieva@mail.ru,,,,,,,,,https://t.me/+79962108344,,,46.351357,48.030683,https://2gis.com/firm/70000001112612185,branch
Домовой,агентство недвижимости,Агентства недвижимости,"улица Красная Набережная, 37",,414040,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:30-18:30; Вт: 09:30-18:30; Ср: 09:30-18:30; Чт: 09:30-18:30; Пт: 09:30-18:30 (по предварительному звонку),+04:00,4.4,21,88512690933,89033216933,,,,,,,https://wa.me/79033216933,,,,,,,46.353362,48.045295,https://2gis.com/firm/70000001038578141,branch
Империя Жилья,агентство недвижимости,Агентства недвижимости,"улица Николая Островского, 124г",6 кабинет; 1 этаж,414057,,Советский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-14:00,+04:00,,,89880753005,,,,,,,,https://wa.me/79880753005,,,,,,,46.333703,48.040848,https://2gis.com/firm/70000001067995959,branch
Квадратные метры,,Агентства недвижимости,"улица Красная Набережная, 27",,414040,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-17:00; Вс: 09:00-17:00,+04:00,,,89608665388,,,,,,,,,,,,,,,46.353787,48.042774,https://2gis.com/firm/70000001110660389,branch
Ключ,центр недвижимости,Агентства недвижимости; Помощь в оформлении ипотеки,"улица Савушкина, 2",5 офис,414056,,Ленинский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 10:00-16:00; Вт: 10:00-16:00; Ср: 10:00-16:00; Чт: 10:00-16:00; Пт: 10:00-16:00; Сб: 10:00-16:00; Вс: 10:00-16:00 (по предварительному звонку),+04:00,5.0,16,89648827950,,,,,,,,,,,,,,,46.378934,48.049543,https://2gis.com/firm/70000001093797212,branch
Консалтинг виа,агентство недвижимости,Агентства недвижимости; Оформление недвижимости,"улица Шаумяна, 73",17 офис; 1 этаж,414000,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00 (по предварительному звонку),+04:00,4.4,72,89608535900,89881734360,,,,,,,https://wa.me/79608535900,https://wa.me/79881734360,,,https://t.me/+79608535900,,,46.346677,48.041748,https://2gis.com/firm/70000001034218552,branch
КПД-Недвижимость,,Агентства недвижимости; Кадастровые работы,"Казанская улица, 81",205 кабинет; 2 этаж,414000,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-14:00 (по предварительному звонку),+04:00,5.0,40,89371322202,,,,,,,,https://wa.me/79371322202,,,,,,,46.343993,48.036816,https://2gis.com/firm/70000001051039146,branch
Лидер-М,агентство юридических услуг в сфере недвижимости,Агентства недвижимости; Оформление недвижимости; Юридические услуги; Помощь в оформлении ипотеки; Ведение дел в судах,"Пороховая улица, 16а",49 офис,414024,Автогородок м-н,Советский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительной записи),+04:00,4.2,10,89170957753,89608657716,,,,,,,https://wa.me/79170957753,,,,https://t.me/+79170957753,,,46.332332,48.020561,https://2gis.com/firm/70000001030447751,branch
Люди Дела,агентство недвижимости,Агентства недвижимости; Юридические услуги,"улица Строителей, 2м",,416150,,,,Красноярский муниципальный округ,Астраханская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+04:00,5.0,51,89270718358,89375056262,,,,,,,https://wa.me/79375056262,https://wa.me/79270718358,,,,,,46.524997,48.354589,https://2gis.com/firm/70000001102742415,branch
Мегаполис,агентство недвижимости,Агентства недвижимости; Оформление недвижимости; Ведение дел в судах,"улица Бабефа, 8",30 кабинет; 1 этаж,414014,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 08:30-17:00; Вт: 08:30-18:00; Ср: 08:30-18:00; Чт: 08:30-18:00; Пт: 08:30-18:00,+04:00,3.7,3,89171830898,,,,,,,,https://wa.me/79171830898,,,,https://t.me/+79171830898,,,46.34385,48.010962,https://2gis.com/firm/70000001021565541,branch
Мегаполис тайм,агентство недвижимости,Агентства недвижимости,"Адмиралтейская улица, 15",3 этаж,414000,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+04:00,,,89275727062,,,,,,,,,,,,,,,46.351039,48.030527,https://2gis.com/firm/70000001112800199,branch
Многопрофильное агентство,,Агентства недвижимости; Оценка собственности; Юридические услуги; Независимая инвентаризация,"улица Ленина, 23",2 этаж,416370,,,,Икрянинский район,Астраханская область,Россия,Пн: 08:00-16:00; Вт: 08:00-16:00; Ср: 08:00-16:00; Чт: 08:00-16:00; Пт: 08:00-16:00 (по предварительному звонку),+04:00,,,89627514208,,,,,,,,https://wa.me/79627514208,,,,,,,46.095802,47.734892,https://2gis.com/firm/70000001031546843,branch
Надёжный партнер,,Агентства недвижимости,"улица Кирова, 54",,414000,,Советский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,"Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00 (по предварительной записи: сб, вс)",+04:00,5.0,4,89608603029,88512410112,89270744445,,,,,,,,,,,,,46.340291,48.037754,https://2gis.com/firm/70000001114292688,branch
Недвижка 2.0,,Агентства недвижимости,,,,,,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+04:00,,,89275662265,,,,,,,,https://wa.me/79275662265,,,,https://t.me/+79275662265,,,,,https://2gis.com/firm/70000001109864557,branch
Нижневолжское агентство оценки,,Агентства недвижимости; Оценка собственности; Оформление недвижимости,,,,,,Астрахань,Астрахань городской округ,Астраханская область,Россия,"Пн: 09:00-12:00, 13:00-17:00; Вт: 09:00-12:00, 13:00-17:00; Ср: 09:00-12:00, 13:00-17:00; Чт: 09:00-12:00, 13:00-17:00; Пт: 09:00-12:00, 13:00-17:00",+04:00,,,89654520680,89648889299,,,,,,,https://wa.me/79654520680,,,,,,,,,https://2gis.com/firm/1126428187840910,branch
Новострой,агентство недвижимости,Агентства недвижимости; Оформление недвижимости; Помощь в оформлении ипотеки,"Бакинская улица, 90",2 этаж,414045,,Советский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+04:00,5.0,482,89053605361,89275695707,,novostroi30@mail.ru,,,,,https://wa.me/79053605361,,,,,,,46.339809,48.026629,https://2gis.com/firm/1126428188234826,branch
Основа,агентство недвижимости,Агентства недвижимости,,,,,,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+04:00,5.0,10,89170878817,89033477744,,,,,,,,,,,,,,,,https://2gis.com/firm/70000001113867095,branch
Победа,центр недвижимости,Агентства недвижимости; Юридические услуги,"улица Набережная Приволжского затона, 20",12 офис; 1 этаж,414014,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 10:00-14:00,+04:00,5.0,1,89170833275,,,,,,,,https://wa.me/79170833275,,,,https://t.me/+79170833275,,,46.338295,48.007337,https://2gis.com/firm/70000001092674940,branch
Савиновъ,агентство недвижимости,Агентства недвижимости; Оформление недвижимости; Юридические услуги; Помощь в банкротстве физлиц,"улица Академика Королёва, 29",1 этаж,414040,,Ленинский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00 (по предварительной записи),+04:00,5.0,1,89275549748,,,,,,,,https://wa.me/79275549748,,,,https://t.me/+79275549748,,,46.358264,48.049428,https://2gis.com/firm/1126428187829150,branch
Твой город,агентство недвижимости,Агентства недвижимости,"Боевая улица, 57а",1 офис; 3 этаж,414045,Автогородок м-н,Советский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00,+04:00,,,89086144141,88512744141,,,,,,,,,,,,,,46.332541,48.022667,https://2gis.com/firm/70000001105225950,branch
ТеРРа30,агентство недвижимости,Агентства недвижимости,"Бакинская улица, 90",2 этаж,414045,,Советский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,,+04:00,4.9,113,89371313461,,,,,,,,,,,,,,,46.339829,48.026895,https://2gis.com/firm/70000001115926996,branch
Титул,агентство недвижимости,Агентства недвижимости,"улица Олега Кошевого, 21ж",2 этаж,416370,,,,Икрянинский район,Астраханская область,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00 (по предварительному звонку),+04:00,5.0,1,89275607093,,,,,,,,https://wa.me/79275607093,,,,https://t.me/+79275607093,,,46.097098,47.733967,https://2gis.com/firm/70000001103213711,branch
