Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Ali.Kar.zhihazy,,Мебель для кухни; Мебель на заказ; Корпусная мебель; Архитектурное проектирование; Детская мебель,"улица Касыма Аманжолова, 32",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-19:00; Вс: 08:00-19:00,+05:00,5.0,10,87066505550,,,,,,,https://instagram.com/ali.kar.zhihazy,,,,https://wa.me/77066505550,,,,,,,51.124463,71.476137,https://2gis.com/firm/70000001098578575,branch
Allmeb,,Мебель для кухни; Мебель на заказ; Корпусная мебель; Детская мебель; Офисная мебель; Мебель для ванных комнат,"Альмукан Сембинов улица, 13/3",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00,+05:00,5.0,18,87753754492,,,,,,,https://instagram.com/allmeb,,,,https://wa.me/77753754492,,,,,,,51.171709,71.451243,https://2gis.com/firm/70000001076852363,branch
Alta Mobili,салон мебели,Мебель для кухни; Корпусная мебель; Офисная мебель; Мягкая мебель; Мебельные магазины,"проспект Мангилик Ел, 20",Б блок; 1 этаж,010017,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+05:00,4.9,11,87786073800,,,,,,,https://instagram.com/altamobili,,https://facebook.com/altamobili,,https://wa.me/77786073800,,,,,,,51.116948,71.435336,https://2gis.com/firm/70000001044106864,branch
Ambrella.mebel,,Мебель для кухни; Мебельные магазины; Мягкая мебель,"улица Е-429, 6",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:30-18:30; Вт: 11:30-18:30; Ср: 11:30-18:30; Чт: 11:30-18:30; Пт: 11:30-18:30; Сб: 11:30-18:30; Вс: 11:30-18:30,+05:00,5.0,35,87764441772,,,,,,,https://instagram.com/ambrella.mebel,,,,https://wa.me/77764441772,,,,https://t.me/+77071166749,,,51.143518,71.358972,https://2gis.com/firm/70000001082001307,branch
Aq_zhihaz_ast,,Мебель для кухни; Мебель на заказ; Корпусная мебель; Распиловка древесины,"улица Бейбитшилик, 47/1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,5.0,7,87003121991,,,,,,,https://instagram.com/aq_zhihaz_ast,,,,https://wa.me/77003121991,,,,,,,51.179262,71.41449,https://2gis.com/firm/70000001104894460,branch
Arimax,,Мебель для кухни; Мебельные магазины,"шоссе Алаш, 35/2",цокольный этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,4.4,6,87011069477,87013558555,,,,,,https://instagram.com/arimax.astana,,,,https://wa.me/77013558555,https://wa.me/77011069477,,,,,,51.204815,71.489327,https://2gis.com/firm/70000001114717361,branch
Armada,магазин по продаже столов и стульев,Мебель для кухни; Корпусная мебель,"улица Е-36, 2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00,+05:00,4.0,9,87014509851,,,,,,,https://instagram.com/stol_stulya_astana_,,,,https://wa.me/77014509851,,,,,,,51.124599,71.382264,https://2gis.com/firm/70000001080839467,branch
arman_mebel.astana,,Мебель для кухни; Мебель на заказ; Корпусная мебель,"улица Ыкылас Дукенулы, 31/4",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00,+05:00,4.8,12,87024650931,87086201363,,,,,,https://instagram.com/arman_mebel.astana,,,,https://wa.me/77024650931,,,,,,,51.182534,71.436175,https://2gis.com/firm/70000001094387600,branch
Arnaya home,,Мебель для кухни,"улица Жолымбетская, 43",5 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,5.0,5,87008110986,,,,,,,,,,,https://wa.me/77008110986,,,,,,,51.199883,71.468133,https://2gis.com/firm/70000001109971965,branch
Artico_kz,мебельный салон,Мебель для кухни; Мягкая мебель; Корпусная мебель; Мебель на заказ,"улица А 91, 14",цокольный этаж,,,Сарайшык район,Астана,,Астана,Казахстан,"Пн: 10:00-13:00, 14:00-18:00; Ср: 10:00-13:00, 14:00-18:00; Чт: 10:00-13:00, 14:00-18:00; Пт: 10:00-13:00, 14:00-18:00; Сб: 10:00-13:00, 14:00-18:00; Вс: 10:00-13:00, 14:00-18:00 (по предварительному звонку)",+05:00,5.0,21,87081712572,,,,,,,https://instagram.com/artico_kz,,,,https://wa.me/77081712572,,,,https://t.me/+77081712572,,,51.118459,71.52474,https://2gis.com/firm/70000001090816708,branch
Asadal,мебельная компания,Мебель для кухни; Мебель на заказ; Корпусная мебель,"проспект Улы Дала, 41/3",НП: 10,010000,,Есиль район,Астана,,Астана,Казахстан,"Пн: 10:00-13:00, 14:00-18:00; Вт: 10:00-13:00, 14:00-18:00; Ср: 10:00-13:00, 14:00-18:00; Чт: 10:00-13:00, 14:00-18:00; Пт: 10:00-13:00, 14:00-18:00",+05:00,5.0,10,87775229592,,,,,,,https://instagram.com/asadal_mebel_astana,,,,https://wa.me/77775229592,,,,,,,51.098361,71.416666,https://2gis.com/firm/70000001093609218,branch
Aser_mebel_astana,мебельная компания,Мебель для кухни; Мебель на заказ; Корпусная мебель; Ремонт мебели; Мебель для ванных комнат; Детская мебель; Офисная мебель,"улица Жумекен Нажимеденов, 44",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.6,30,87713642824,,,,,,,https://instagram.com/aser_mebel_astana,,,,https://wa.me/77713642824,,,,https://t.me/+77713642824,,,51.113028,71.509653,https://2gis.com/firm/70000001111105151,branch
Ast Group,мебельная компания,Мебель для кухни; Детская мебель; Мебель на заказ; Корпусная мебель; Изделия из камня для помещений,"проспект Мангилик Ел, 53",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,120,87073186663,,,,,,,https://instagram.com/astgroup_mebel.kz,,,,https://wa.me/77073186663,,,,,,,51.093861,71.425597,https://2gis.com/firm/70000001047398318,branch
Astana Wood,мебельная компания,Мебель для кухни; Мебель на заказ; Корпусная мебель; Детская мебель; Офисная мебель,"улица Ыкылас Дукенулы, 31/3",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,5.0,8,87751000001,,,,,,,https://instagram.com/mebelnazakazvastane,,,,https://wa.me/77751000001,,,,,,,51.182651,71.435567,https://2gis.com/firm/70000001104446463,branch
Asylai mebel,,Мебель для кухни; Мебель на заказ; Корпусная мебель; Детская мебель; Офисная мебель,"Керей, Жанибек хандар улица, 44/2",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,4.9,9,87075758820 (администратор),,,,,,,https://instagram.com/asylai_mebel_astana,,,,https://wa.me/77075758820,,,,,,,51.104969,71.446714,https://2gis.com/firm/70000001100803354,branch
Äulet,мебельная компания,Мебель для кухни; Мебель на заказ; Корпусная мебель; Мебель для ванных комнат; Мягкая мебель; Детская мебель; Офисная мебель,"улица Касыма Аманжолова, 24",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,4.9,79,87022677784,,,,,,,https://instagram.com/aulet_jihaz,,,,https://wa.me/77022677784,https://wa.me/77086476284,,,,,,51.117854,71.47342,https://2gis.com/firm/70000001036866655,branch
BaDi Elegant,мебельная компания,Мебель для кухни; Корпусная мебель; Мягкая мебель; Мебель на заказ; Детская мебель; Офисная мебель,"шоссе Коргалжын, 13/3",2 этаж; левое крыло,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,11,87775740574,,,,,,,https://instagram.com/badi_elegant,,,,https://wa.me/77775740574,,,,,,,51.147176,71.381002,https://2gis.com/firm/70000001097291242,branch
Bai Luxe,мебельная компания,Мебель для кухни; Мебель на заказ; Корпусная мебель,"улица Александра Пушкина, 51/1",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,5.0,11,87783244835,,,,,,,https://instagram.com/bailuxe_mebel,,,,https://wa.me/77783244835,,,,,,,51.181768,71.489045,https://2gis.com/firm/70000001081323199,branch
Baspana Mebel,компания по изготовлению мебели,Мебель для кухни; Мебель на заказ; Корпусная мебель; Офисная мебель; Детская мебель; Мебель для ванных комнат,"улица Койтас, 1Б",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,4.9,30,87770313158,,,,,,,https://instagram.com/baspana_mebel,,,,https://wa.me/77770313158,,,,,,,51.181499,71.505205,https://2gis.com/firm/70000001094103562,branch
Bazis. Mebel. Astana,мебельная компания,Мебель для кухни; Мебель на заказ; Мебельная фурнитура,"улица Темирбек Жургенов, 19",17 офис,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.8,21,87784888439,,,,,,,https://instagram.com/Bazis.mebel.astana,,,,https://wa.me/77784888439,,,,,,,51.118841,71.501827,https://2gis.com/firm/70000001103300824,branch
Big stroi,мебельная компания,Мебель для кухни; Мебель на заказ; Корпусная мебель; Детская мебель; Офисная мебель,"улица Орлыкол, 21/3",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-02:00; Вт: 09:00-02:00; Ср: 09:00-02:00; Чт: 09:00-02:00; Пт: 09:00-02:00; Сб: 09:00-02:00; Вс: 09:00-02:00 (по предварительному звонку),+05:00,4.5,26,87080011401 (мебель на заказ),87080011601 (услуга фасадов),,,,,,https://instagram.com/big_stroi.kz,,,,https://wa.me/77080011401,https://wa.me/77080011601,,,,,,51.18704,71.430274,https://2gis.com/firm/70000001089219454,branch
BioDivan,мебельная компания,Мебель для кухни; Мягкая мебель; Мебель на заказ; Мебель для общественного питания; Мебель для культурно-досуговых учреждений; Корпусная мебель; Офисная мебель; Детская мебель; Светотехника,"шоссе Алаш, 20/1",3 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,3.9,7,87477353650,,,,,,,https://instagram.com/biodivan_kz,,,,https://wa.me/77477353650,,,,,,,51.19252,71.463851,https://2gis.com/firm/70000001066886063,branch
Bora Mebel,,Мебель для кухни; Корпусная мебель; Мебель на заказ; Мебель для ванных комнат; Офисная мебель; Детская мебель,"проспект Улы Дала, 54",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи),+05:00,5.0,24,87028481888,,,,,,,https://instagram.com/bora_mebel.kz,,,,https://wa.me/77028481888,,,,,,,51.09757,71.406781,https://2gis.com/firm/70000001055056135,branch
Bora Mebel,,Мебель для кухни; Корпусная мебель; Мебель на заказ,"улица Орлыкол, 10а",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+05:00,5.0,7,87028481888,,,,,,,https://instagram.com/bora_mebel.kz,,,,https://wa.me/77028481888,,,,,,,51.183404,71.428815,https://2gis.com/firm/70000001055055854,branch
Bosaga.mebel.astana,,Мебель для кухни; Мебель на заказ; Офисная мебель; Детская мебель; Сборка мебели,"улица Лесная поляна, 50",,,Лесная поляна м-н,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.2,5,87753146679,,,,,,,,,,,https://wa.me/77753146679,,,,,,,51.006437,71.379656,https://2gis.com/firm/70000001114898072,branch
Brend Home,мебельный магазин,Мебель для кухни; Мягкая мебель; Мебель на заказ; Корпусная мебель,"улица Жолымбетская, 43",5 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,1.9,5,87053497471,,,,,,,https://instagram.com/brend_home.kz,,,,https://wa.me/77053497471,,,,,,,51.199883,71.468133,https://2gis.com/firm/70000001093032890,branch
Carpenter,мебельный салон,Мебель для кухни; Мягкая мебель; Корпусная мебель; Мебельные магазины,"проспект Улы Дала, 39",3 офис,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:30-20:00; Вт: 10:30-20:00; Ср: 10:30-20:00; Чт: 10:30-20:00; Пт: 10:30-20:00; Сб: 10:30-20:00; Вс: 10:30-20:00,+05:00,5.0,13,87087046566,,,,,,,https://instagram.com/mebel.carpenter.kz,,,,https://wa.me/77087046566,,,,,,,51.098252,71.410888,https://2gis.com/firm/70000001030278534,branch
Centr Кухни,мебельный салон,Мебель для кухни; Мебель на заказ; Офисная мебель; Корпусная мебель; Мягкая мебель; Мебельные магазины,"улица Каныш Сатпаев, 16",3 этаж,,Қараөткел ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:30-19:00; Вт: 10:30-19:00; Ср: 10:30-19:00; Чт: 10:30-19:00; Пт: 10:30-19:00; Сб: 10:30-19:00; Вс: 10:30-19:00,+05:00,4.2,10,87755911875,,,,,,,https://instagram.com/centrkuhni_kz,,,,https://wa.me/77717051570,https://wa.me/77755911875,,,,,,51.143579,71.474902,https://2gis.com/firm/70000001047738733,branch
Comfort_lux_furniture,,Мебель для кухни; Мебель на заказ; Мягкая мебель; Корпусная мебель; Офисная мебель; Мебель для ванных комнат,"улица Шары Жиенкуловой, 38/1",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,5.0,10,87773440233,,,,,,,https://instagram.com/comfort_lux_furniture,,,,https://wa.me/77773440233,,,,,,,51.177791,71.45688,https://2gis.com/firm/70000001101374445,branch
Console,мебельный салон,Мебель для кухни; Мягкая мебель; Мебельные магазины,"проспект Улы Дала, 33",,,,Нура район,Астана,,Астана,Казахстан,"Пн: 10:00-13:00, 14:00-19:00; Вт: 10:00-13:00, 14:00-19:00; Ср: 10:00-13:00, 14:00-19:00; Чт: 10:00-13:00, 14:00-19:00; Пт: 10:00-13:00, 14:00-19:00; Сб: 10:00-13:00, 14:00-19:00; Вс: 12:00-18:00",+05:00,4.7,8,87782659464,,,,,,,https://instagram.com/console_jihaz,,,,https://wa.me/77782659464,,,,,,,51.100142,71.401996,https://2gis.com/firm/70000001065515504,branch
Dara,мебельный цех,Мебель для кухни; Мебель на заказ; Корпусная мебель; Мебельные фасады; Мебель для ванных комнат; Детская мебель; Офисная мебель,"улица Сакена Сейфуллина, 47",31/2 бутик; 6 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.9,8,87012071316,87478030418,87075680584,,,,,,,,,https://wa.me/77478030418,https://wa.me/77075680584,https://wa.me/77012071316,,,,,51.172982,71.437433,https://2gis.com/firm/70000001064272730,branch
Delmax,салон мебели,Мебель для кухни; Мебель на заказ; Корпусная мебель; Детская мебель; Офисная мебель; Мягкая мебель; Мебельные магазины,"улица генерала Сабыра Ракымова, 22",2 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 11:00-16:00; Вт: 11:00-16:00; Ср: 11:00-16:00; Чт: 11:00-16:00; Пт: 11:00-16:00; Сб: 10:00-15:00,+05:00,5.0,8,87053333415,,,,,,,https://instagram.com/delmax_mebel,,,,https://wa.me/77053333415,,,,,,,51.162858,71.438741,https://2gis.com/firm/70000001018133668,branch
Demal Design,,Мебель для кухни; Мягкая мебель,"улица Достык, 3",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,31,87711946639,,,,,,,https://instagram.com/demal_design,,,,https://wa.me/77711946639,,,,,,,51.128696,71.420465,https://2gis.com/firm/70000001086715426,branch
Dero мебель,,Мебель для кухни; Мебель на заказ; Корпусная мебель; Детская мебель; Мебель для ванных комнат; Офисная мебель; Распиловка древесины,"проспект Абая, 54/3",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.8,149,87763470717,87072210202,,,,,,https://instagram.com/dero_mebel,,,,https://wa.me/77763470717,,,,,,,51.170509,71.446027,https://2gis.com/firm/70000001098165930,branch
Dilas_mebel,,Мебель для кухни; Мебель на заказ; Детская мебель; Матрасы; Мебельные магазины; Мягкая мебель,"улица Достык, 3",B зал; 1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,36,87056567733,,,,,,,https://instagram.com/dilas_mebel,,,,https://wa.me/77056567733,,,,,,,51.128684,71.420883,https://2gis.com/firm/70000001065408327,branch
Din mebel Astana,,Мебель для кухни; Мебель на заказ; Корпусная мебель,"улица Бактыораза Бейсекбаева, 25/7",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,4.7,12,87086846977,87086846973,,,,,,https://instagram.com/din_mebel_astana,,,,https://wa.me/77086846977,,,,,,,51.173299,71.460523,https://2gis.com/firm/70000001104399635,branch
Divan Lider,мебельная компания,Мебель для кухни; Мягкая мебель; Мебель на заказ; Корпусная мебель; Матрасы; Детская мебель,"проспект Ракымжан Кошкарбаев, 15",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.6,290,87000913030,,,,,,,https://instagram.com/divan_lider_mebel,,,,https://wa.me/77000913030,,,,,,,51.12596,71.484595,https://2gis.com/firm/70000001077396847,branch
