Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Arman,барбершоп,Барбершопы,"Алиби Жангельдина улица, 42",27 бутик; 1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-19:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.7,52,87073074352,,,,,,,https://instagram.com/kaliakparov.arman,,,https://wa.me/77073074352,,,,https://t.me/+77073074352,,51.175062,71.433046,https://2gis.com/firm/70000001053434645,branch
Azr,барбершоп,Барбершопы,"улица Темирбек Жургенов, 17а",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00 (по предварительной записи),+05:00,5.0,25,87081624874,,,,,,,https://instagram.com/a.z.r.barbershop,,,https://wa.me/77081624874,,,,,,51.116176,71.500539,https://2gis.com/firm/70000001116018355,branch
Azr,барбершоп,Барбершопы,"улица Бердибек Сокпакбаев, 20/1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-01:00; Вт: 09:00-01:00; Ср: 09:00-01:00; Чт: 09:00-01:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-01:00,+05:00,4.9,339,87081624874,,,,,,,https://instagram.com/a.z.r.barbershop,,,https://wa.me/77081624874,,,,,,51.17389,71.38358,https://2gis.com/firm/70000001097225295,branch
B Beauty,салон красоты,Барбершопы; Парикмахерские услуги; Ногтевой сервис; Эпиляция; Оформление бровей и ресниц; Визажисты,"улица Санжара Асфендиярова, 3",около магазина Тәп-Тәтті,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,717,87075072552,,,talasom@gmail.com,,,,https://instagram.com/bbeauty_astana,https://facebook.com/b.block.beauty,,https://wa.me/77075072552,,,,https://t.me/+77075072552,,51.132331,71.376649,https://2gis.com/firm/70000001018114732,branch
Barber Boss,турецкий барбершоп,Барбершопы,"улица Е-489, 3 блок 2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,263,87026993029,,,,,,,https://instagram.com/barber_boss_astana,,,https://wa.me/77026993029,,,,,,51.143337,71.377695,https://2gis.com/firm/70000001090232078,branch
Barber point,,Барбершопы,"улица Чингиз Айтматов, 60",,,,Нура район,Астана,,Астана,Казахстан,Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,25,87761555949,,,,,,,,,,https://wa.me/77761555949,,,,,,51.160007,71.373975,https://2gis.com/firm/70000001089697354,branch
Barber Point,,Барбершопы,"улица Чингиз Айтматов, 77/8",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,94,87765064977,,,,,,,https://instagram.com/barbershop_point_ast,,,https://wa.me/77765064977,,,,,,51.166459,71.371673,https://2gis.com/firm/70000001098835127,branch
Barber Shyngys,,Барбершопы,"улица Динмухамед Конаев, 7",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,14,87785402840,,,,,,,,,,https://wa.me/77785402840,,,,,,51.133455,71.421251,https://2gis.com/firm/70000001088212835,branch
barber_janyl,,Барбершопы,"проспект Женис, 5",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 13:00-21:00; Вт: 13:00-21:00; Ср: 13:00-21:00; Чт: 13:00-21:00; Пт: 13:00-21:00 (по предварительной записи),+05:00,4.4,8,87024155549,,,,,,,https://instagram.com/barber_janyl,,,https://wa.me/77024155549,,,,,,51.161312,71.414629,https://2gis.com/firm/70000001043765510,branch
Barber_nata01,,Барбершопы,"улица Кенесары, 4",2 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.8,40,87079960430,,,,,,,https://instagram.com/barber_nata01,,,https://wa.me/77079960430,,,,,,51.161646,71.400522,https://2gis.com/firm/70000001109831675,branch
barbershop_region01,барбершоп,Барбершопы,"улица Сыганак, 33",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,118,87474078916,,,,,,,https://instagram.com/barbershop_region01,,,https://wa.me/77474078916,,,,,,51.124736,71.422639,https://2gis.com/firm/70000001110248903,branch
Barbershop_sezar,,Барбершопы,"Мирный переулок, 4а",,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,152,87470305468,,,,,,,https://instagram.com/sezar_barbershop,,,https://wa.me/77470305468,,,,,,51.16027,71.461365,https://2gis.com/firm/70000001092774000,branch
Bars,барбершоп,Барбершопы,"переулок Жайдарман, 1",цокольный этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи),+05:00,4.8,452,87079641323,,,,,,,https://instagram.com/bars_barbershop,,,https://wa.me/77079641323,,,,,,51.136272,71.469843,https://2gis.com/firm/70000001102232953,branch
Bars,барбершоп,Барбершопы,"улица Илияс Омаров, 19/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи),+05:00,4.9,765,87761861256,,,,,,,https://instagram.com/bars_barbershop,,,https://wa.me/77761861256,,,,,,51.137331,71.367087,https://2gis.com/firm/70000001083231482,branch
Beine,,Барбершопы,"проспект Абылай хана, 14/1",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,232,87003489043,,,,,,,https://instagram.com/beine.barbershop,,,https://wa.me/77003489043,,,,,,51.157226,71.476142,https://2gis.com/firm/70000001106118434,branch
Black Beast,барбершоп,Барбершопы,"улица Санжара Асфендиярова, 4",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,272,87714312121,87764311212,,,,,,https://instagram.com/sunnat_barberr,,,https://wa.me/77714312121,https://wa.me/77764311212,,,,,51.132146,71.38082,https://2gis.com/firm/70000001063589228,branch
Blackstone,барбершоп,Барбершопы,"улица Санжара Асфендиярова, 7",2 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,160,87751924036,,,,,,,https://instagram.com/blackstone.offical_,,,https://wa.me/77751924036,,,,,,51.134445,71.379266,https://2gis.com/firm/70000001089808898,branch
Bros,барбершоп,Барбершопы,"улица Лесная поляна, 21",Цокольный этаж,,Лесная поляна м-н,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,234,87782979628,,,,,,,https://instagram.com/bros_barbershop2025,,,https://wa.me/77782979628,,,,,,51.002421,71.369742,https://2gis.com/firm/70000001101056243,branch
Brutal,,Барбершопы,"проспект Мангилик Ел, 36",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+05:00,5.0,162,87718450808,,,,,,,https://instagram.com/brutal.barber.bekzat,,,https://wa.me/77718450808,,,,,,51.106826,71.432909,https://2gis.com/firm/70000001066639646,branch
Bugay,,Барбершопы,"проспект Ракымжан Кошкарбаев, 32/3 блок И",цокольный этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.9,138,87767190519,,,,,,,,,,https://wa.me/77767190519,,,,,,51.124607,71.481964,https://2gis.com/firm/70000001104883745,branch
Bvb,барбершоп,Барбершопы,"улица Ыкылас Дукенулы, 37/2",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-22:00; Вт: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-22:00,+05:00,4.9,49,87764572408,,,,,,,https://instagram.com/bvb.barbershop,,,https://wa.me/77764572408,,,,,,51.182797,71.438814,https://2gis.com/firm/70000001088785973,branch
Central,барбершоп,Барбершопы,"улица Маншук Маметовой, 10",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,465,87005020108,,,rysbek.02@icloud.com,,,,https://instagram.com/central.astana,,,https://wa.me/77005020108,,,,,,51.127971,71.381119,https://2gis.com/firm/70000001105675693,branch
Central,барбершоп,Барбершопы,"улица Сарайшык, 34",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,1408,87718132022,87719091709,,rysbek.02@icloud.com,,,,https://instagram.com/central.astana,,,https://wa.me/77718132022,https://wa.me/77719091709,,,,,51.133787,71.429172,https://2gis.com/firm/70000001086784086,branch
Chicago,барбершоп,Барбершопы,"улица Бердибек Сокпакбаев, 5",ВП: 11,010000,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,202,87017772437,,,,,,,https://instagram.com/barbershop_chicago_,,,https://wa.me/77017772437,,,,,,51.171845,71.399747,https://2gis.com/firm/70000001043420396,branch
Classic man,,Барбершопы; Обучение мастеров для салонов красоты,"Кабанбай батыр проспект, 58Б корпус 7",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,4.9,110,87767799533,,,,,,,https://instagram.com/birnazarov_erbolsyn,,,https://wa.me/77767799533,,,,,,51.094398,71.40952,https://2gis.com/firm/70000001046981649,branch
CROP Barbershop,,Барбершопы; Обучение мастеров для салонов красоты,"улица Санжара Асфендиярова, 8",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:50-20:00; Вт: 09:50-20:00; Ср: 09:50-20:00; Чт: 09:50-20:00; Пт: 09:50-20:00; Сб: 09:50-20:00; Вс: 09:50-20:00,+05:00,4.9,445,87018968382,87753883591,,,,,,,,,https://wa.me/77753883591,,,,,,51.134493,71.3817,https://2gis.com/firm/70000001096899128,branch
Dara,барбершоп,Барбершопы,"улица Санжара Асфендиярова, 2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,38,87083241994,,,,,,,,,,https://wa.me/77083241994,,,,,,51.130957,71.377203,https://2gis.com/firm/70000001111188068,branch
Diaz,барбершоп,Барбершопы,"улица Сауран, 14",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,17,87066657067,,,,,,,,,,https://wa.me/77066657067,,,,https://t.me/+77066657067,,51.115406,71.419728,https://2gis.com/firm/70000001113120288,branch
Doberman,барбершоп,Барбершопы,"улица Шаймерден Косшыгулулы, 11/3",цокольный этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,5.0,160,87058779949,87776179966,,,,,,https://instagram.com/doberman.ast,,,https://wa.me/77479726111,https://wa.me/77058779949,https://wa.me/77776179966,,,,51.166868,71.387118,https://2gis.com/firm/70000001069272797,branch
EL Clasico,барбершоп,Барбершопы,"улица Кенесары, 47а",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.9,185,87081257351,,,,,,,https://instagram.com/el.clasico.astana,,,https://wa.me/77081148054,,,,,,51.166609,71.430152,https://2gis.com/firm/70000001062594885,branch
El Patron,,Барбершопы,"улица Алихан Бокейхан, 46",,010000,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,375,87075693706,,,abdulvalisagindik@gmail.com,,,,https://instagram.com/el.patron.astana,https://facebook.com/profile.php?id=100086356821601,,https://wa.me/77075693706,,,,,,51.08762,71.427354,https://2gis.com/firm/70000001099073650,branch
El Patron,,Барбершопы,"улица Е-36, 5",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.9,249,87074147834,,,abdulvalisagindik@gmail.com,,,,https://instagram.com/el.patron.astana,https://facebook.com/profile.php?id=100086356821601,,https://wa.me/77074147834,,,,,,51.124738,71.383471,https://2gis.com/firm/70000001094413274,branch
El Patron,,Барбершопы,"проспект Туран, 55/12",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.7,298,87074795313,,,abdulvalisagindik@gmail.com,,,,https://instagram.com/el.patron.astana,https://facebook.com/profile.php?id=100086356821601,,https://wa.me/77074795313,,,,,,51.113794,71.393845,https://2gis.com/firm/70000001081317887,branch
El Patron,,Барбершопы,"улица Санжара Асфендиярова, 3",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.9,724,87478358283,,,abdulvalisagindik@gmail.com,,,,https://instagram.com/el.patron.astana,https://facebook.com/profile.php?id=100086356821601,,https://wa.me/77478358283,,,,,,51.132655,71.378521,https://2gis.com/firm/70000001067340158,branch
Elegance,барбершоп,Барбершопы,"улица Сарайшык, 7",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительной записи),+05:00,5.0,19,87087087225,,,,,,,,,,https://wa.me/77087087225,,,,,,51.135193,71.426349,https://2gis.com/firm/70000001065143702,branch
Eleven,,Барбершопы,"улица Ахмет Байтурсынулы, 39/3",цокольный этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,139,87760819096,,,,,,,,,,https://wa.me/77760819096,,,,,,51.120068,71.502524,https://2gis.com/firm/70000001103654063,branch
Er-Style,барбершоп,Барбершопы,"улица Сауран, 14",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00 (по предварительной записи),+05:00,5.0,97,87083159245,87055409302,,,,,,,,,https://wa.me/77009628919,https://wa.me/77083159245,,,,,51.116766,71.420215,https://2gis.com/firm/70000001103744229,branch
Erbolat Meirman,,Барбершопы,"улица Кенжебек Кумисбеков, 2п",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,69,87786109599,,,,,,,https://instagram.com/erbolat.meirman,,,https://wa.me/77786109599,,,,,,51.16343,71.401549,https://2gis.com/firm/70000001067244726,branch
Express,барбершоп,Барбершопы; Массажист,"улица Сыганак, 47",103 офис; 1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.9,54,87029971851,,,,,,,https://instagram.com/express_barber_shop_,,,https://wa.me/77029971851,,,,,,51.123185,71.434374,https://2gis.com/firm/70000001044993275,branch
Family,барбершоп,Барбершопы,"улица Лесная поляна, 12",цокольный этаж; ВП: 11а,,Лесная поляна м-н,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,5.0,158,87000940101,,,,,,,https://instagram.com/barbershop_family,,,https://wa.me/77000940101,,,,,,51.001287,71.370377,https://2gis.com/firm/70000001032380412,branch
Gala,барбершоп,Барбершопы,"улица Адольфа Янушкевича, 1",,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,430,87756344159,,,,,,,https://instagram.com/gala__barbershop,,,https://wa.me/77756344159,,,,,,51.15886,71.461044,https://2gis.com/firm/70000001101423942,branch
Gentleman,барбершоп,Барбершопы,"улица Лесная поляна, 44",цокольный этаж,,Лесная поляна м-н,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.7,54,87071073603,,,,,,,,,,https://wa.me/77071073603,,,,,,51.00608,71.377166,https://2gis.com/firm/70000001111155309,branch
gentlemen.barbershop.astana,,Барбершопы,"проспект Абылай хана, 52а",цокольный этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,166,87075252439,,,,,,,https://instagram.com/gentlemen.barbershop.astana,,,https://wa.me/77075252439,,,,,,51.146212,71.506554,https://2gis.com/firm/70000001080122844,branch
GQ,,Барбершопы,"Керей, Жанибек хандар улица, 28",,,,Есиль район,Астана,,Астана,Казахстан,"Пн: 10:00-13:00, 14:00-20:00; Вт: 10:00-13:00, 14:00-20:00; Ср: 10:00-13:00, 14:00-20:00; Чт: 10:00-13:00, 14:00-20:00; Пт: 10:00-13:00, 14:00-20:00; Сб: 10:00-13:00, 14:00-20:00; Вс: 10:00-13:00, 14:00-20:00",+05:00,4.4,65,87027468588,,,,,,,https://instagram.com/barber___nurlan,,,https://wa.me/77027468588,,,,,,51.112265,71.436224,https://2gis.com/firm/70000001037731707,branch
