Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Energetiс,бизнес-центр,Бизнес-центры,"улица Шарль де Голль, 13",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00 (администрация: пн-пт 10:00-18:00),+05:00,5.0,45,87015173031 (отдел аренды),,,,,,,,,https://wa.me/77015173031,,,,,,51.144002,71.456285,https://2gis.com/firm/70000001036004475,branch
Estra,бизнес-центр,Бизнес-центры,"проспект Туран, 19/2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00,+05:00,5.0,34,87172472888,,,,,,,,,,,,,,,51.143749,71.409263,https://2gis.com/firm/70000001047587667,branch
Grey plaza,,Бизнес-центры; Аренда помещений; Конференц-залы,"Керей, Жанибек хандар улица, 32",,,Заречное ж/м,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (администрация: пн-вс 9:00-18:00),+05:00,5.0,41,87477202020 (отдел продаж),,,,,,,https://instagram.com/greyplaza,,https://wa.me/77477202020,,,,,,51.111811,71.439277,https://2gis.com/firm/70000001038872716,branch
Inteh plus,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Шолпан Иманбаевой, 8/2",7 офис; 7 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.9,57,87052691386,,,,,,,,,https://wa.me/77052691386,,,,,,51.162194,71.437991,https://2gis.com/firm/70000001056457956,branch
iPlaza,бизнес-центр,Бизнес-центры; Аренда помещений,"проспект Мангилик Ел, 33/1",,010000,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.9,165,87784822597,,,,,,,https://instagram.com/iplaza.bc,,https://wa.me/77784822597,,,,https://t.me/+77784822597,,51.106688,71.430157,https://2gis.com/firm/70000001066328594,branch
Ishim,бизнес-центр,Бизнес-центры,"проспект Республики, 32",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00,+05:00,5.0,49,87172792709,87719333377 (отдел аренды ),,,,,,,,,,,,,,51.168187,71.42717,https://2gis.com/firm/70000001044712988,branch
Kel inn,бизнес-центр,Бизнес-центры,"проспект Шакарим Кудайбердыулы, 26",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,4.9,56,87771765566,,,,,,,,,https://wa.me/77771765566,,,,,,51.159038,71.49145,https://2gis.com/firm/70000001083995216,branch
Keremet,бизнес-центр,Бизнес-центры,"проспект Туран, 21/6",,,,Нура район,Астана,,Астана,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,4.9,29,87074587878,,,,,,,,,https://wa.me/77074587878,,,,,,51.143671,71.409994,https://2gis.com/firm/70000001094802921,branch
Kesha,бизнес-центр,Бизнес-центры; Аренда помещений,"проспект Сарыарка, 31/1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+05:00,5.0,64,87772274147,,,,,,,,,,,,,,,51.17327,71.405809,https://2gis.com/firm/70000001032029972,branch
Kkz Plaza,,Бизнес-центры,"проспект Мангилик Ел, 63",,010000,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.8,71,87011099767,,,,,,,https://instagram.com/kkzplaza.astana,,https://wa.me/77011099767,,,,,,51.080795,71.420671,https://2gis.com/firm/70000001104522789,branch
Lasalle corporation,бизнес-центр,Бизнес-центры,"улица Кажымукан, 12а",,,4 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-20:30; Вт: 09:00-20:30; Ср: 09:00-20:30; Чт: 09:00-20:30; Пт: 09:00-20:30; Сб: 09:00-20:30; Вс: 09:00-20:30 (администрация: пн-пт 9:00-18:00),+05:00,4.9,77,87172556279,87011414155,,,,,,,,,,,,,,51.1538,71.467552,https://2gis.com/firm/70000001018069444,branch
Millennium Park,бизнес-центр,Бизнес-центры,"улица Касыма Аманжолова, 26",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,14,87172755550 (многоканальный),87719333377 (отдел аренды),,,,,,,,,,,,,,51.120531,71.474458,https://2gis.com/firm/70000001025870399,branch
Monblan,бизнес-центр,Бизнес-центры,"улица Кенесары, 8",1724 кабинет; 17 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,4.9,106,87082682663,,,,,,,,,https://wa.me/77082682663,,,,,,51.162443,71.407955,https://2gis.com/firm/70000001051065536,branch
Monolith,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Максут Нарикбаев, 2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.8,59,87470959825 (отдел аренды: пн-пт 9:00-18:00),,,,,,,,,https://wa.me/77014674703,,,,,,51.139858,71.393053,https://2gis.com/firm/70000001076286998,branch
Motus group,,Бизнес-центры; Аренда помещений,"улица Жанайдар Жирентаев, 2Б",1-3 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,4.9,63,87172335548 (администратор),,,,,,,,,,,,,,,51.146469,71.476954,https://2gis.com/firm/70000001036600861,branch
O’Vest,бизнес центр,Бизнес-центры; Беседки,"улица Акмешит, 1 блок В",1 этаж,,Заречное ж/м,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+05:00,4.6,51,87088904904,87172904904,,,,,,,,,,,,,,51.119612,71.424578,https://2gis.com/firm/70000001095357030,branch
Omega,бизнес-центр,Бизнес-центры,"улица Санжара Асфендиярова, 8а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00 (отдел аренды: пн-пт 9:00-18:00),+05:00,4.9,100,87057613623,87074626295,,,,,,,,https://wa.me/77074626295,https://wa.me/77077613623,,,,,51.13562,71.379891,https://2gis.com/firm/70000001086814513,branch
Oscar,бизнес-центр,Бизнес-центры,"проспект Туран, 34в",4-5 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-15:00,+05:00,4.7,8,87710998399,,,,,,,,,https://wa.me/77710998399,,,,,,51.122665,71.404886,https://2gis.com/firm/70000001103786912,branch
Q,бизнес-центр,Бизнес-центры,"Кабанбай батыр проспект, 15а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.9,50,87172755500 (многоканальный),87717555500 (отдел аренды ),,,,,,,,,,,,,,51.136115,71.41366,https://2gis.com/firm/70000001026605129,branch
Q2,бизнес-центр,Бизнес-центры,"Кабанбай батыр проспект, 15/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00,+05:00,5.0,30,87172755505,87717555500 (отдел аренды ),,,,,,,,,,,,,,51.135287,71.413246,https://2gis.com/firm/70000001028365851,branch
Quorum,бизнес-центр,Бизнес-центры; Аренда помещений,"проспект Тауелсиздик, 22а",,,3 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,37,87021221110,,,,,,,,,https://wa.me/77021221110,,,,https://t.me/+77021221110,,51.144806,71.461738,https://2gis.com/firm/70000001103587525,branch
Saad,бизнес-центр,Бизнес-центры,"улица Достык, 2",1-28 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.9,26,87010265091,87172793053,,,,,,,,,,,,,,51.128567,71.406896,https://2gis.com/firm/70000001026726857,branch
Samal,бизнес-центр,Бизнес-центры,"Керей, Жанибек хандар улица, 18",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-15:00,+05:00,4.9,28,87754423870,,,,,,,,,,,,,,,51.113747,71.424403,https://2gis.com/firm/70000001018072717,branch
Sat Tower,,Бизнес-центры; Аренда помещений,"проспект Туран, 30а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,4.9,36,87715051736 (отдел аренды ),87172649000 (ресепшн),87172649023 (отдел продаж),,,,,,,,,,,,,51.128305,71.405951,https://2gis.com/firm/70000001062763590,branch
Seven,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Алматы, 7",1-10 этаж,,,Есиль район,Астана,,Астана,Казахстан,"Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,48,87788539329 (охрана),87780020377 (отдел аренды),,,,,,,,https://wa.me/77780020377,,,,,,51.117221,71.422549,https://2gis.com/firm/70000001033611930,branch
Sigma,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Кайым Мухамедханов, 23/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.6,62,87710601069 (отдел аренды),87010330001 (отдел аренды),,,,,,,,https://wa.me/77010330001,https://wa.me/77710601069,,,,,51.142379,71.379952,https://2gis.com/firm/70000001103459720,branch
Silk way center,бизнес-центр,Бизнес-центры; Конференц-залы,"проспект Тауелсиздик, 41",,,,Алматы район,Астана,,Астана,Казахстан,"Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,55,87710554663 (отдел аренды конференц-зала),87014854097 (отдел аренды офисов),,,,,,https://instagram.com/silkwaycenter,,https://wa.me/77014854097,https://wa.me/77710554663,,,,,51.134997,71.467155,https://2gis.com/firm/70000001028136114,branch
Summit,бизнес-центр,Бизнес-центры,"улица Сыганак, 17/16",,,,Нура район,Астана,,Астана,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-19:00,+05:00,4.9,26,87085361036 (администрация),,,,,,,,,https://wa.me/77085361036,,,,,,51.131418,71.39138,https://2gis.com/firm/70000001059406320,branch
Syganaq,,Бизнес-центры,"улица Сыганак, 70",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.9,37,87717996070,,,,,,,,,https://wa.me/77717996070,,,,,,51.120567,71.44085,https://2gis.com/firm/70000001101389697,branch
The square,бизнес-центр,Бизнес-центры,"проспект Туран, 46/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00,+05:00,4.9,124,87784203410,87172729800 (ресепшен),87172248422 (бухгалтерия),,,,,,,,,,,,,51.112385,71.402527,https://2gis.com/firm/70000001025622756,branch
Taymas,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Беимбет Майлин, 19",,,,Алматы район,Астана,,Астана,Казахстан,"Пн: 08:00-15:00, 16:00-22:00; Вт: 08:00-15:00, 16:00-22:00; Ср: 08:00-15:00, 16:00-22:00; Чт: 08:00-15:00, 16:00-22:00; Пт: 08:00-15:00, 16:00-22:00; Сб: 08:00-15:00, 16:00-22:00; Вс: 08:00-15:00, 16:00-22:00 (администрация: пн-сб 9:00-18:00)",+05:00,4.9,396,87755372926,,,,,,,https://instagram.com/bc_taymas,,https://wa.me/77755372926,,,,,,51.145976,71.475883,https://2gis.com/firm/70000001026458341,branch
Time,бизнес-центр,Бизнес-центры,"улица Казанат, 1/1",1-5 этаж,,Караоткель-2 м-н,Нура район,Астана,,Астана,Казахстан,"Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,40,87172955888,,,,,,,,,,,,,,,51.146697,71.410521,https://2gis.com/firm/70000001026458454,branch
Trust,бизнес-центр,Бизнес-центры,"улица Динмухамед Конаев, 12/1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+05:00,4.9,56,87058357545 (отдел по аренде офисов и помещений),,,,,,,,,https://wa.me/77058357545,,,,,,51.130526,71.428731,https://2gis.com/firm/70000001052001652,branch
Uly Dala Plaza,бизнес-центр,Бизнес-центры,"улица Беимбет Майлин, 37",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.9,238,87715791338 (администрация),87782749884 (администрация),,,,,,,,https://wa.me/77715791338,https://wa.me/77782749884,,,,,51.148751,71.485826,https://2gis.com/firm/70000001032715373,branch
Vion,бизнес-центр,Бизнес-центры; Аренда помещений,"шоссе Коргалжын, 13/3",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.6,6,87077777898,,,,,,,,,,,,,,,51.147057,71.381063,https://2gis.com/firm/70000001101735210,branch
Zapad #1,,Бизнес-центры,"проспект Сарыарка, 31/2",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,10,87751637467,,,,,,,,,,,,,,,51.172265,71.404069,https://2gis.com/firm/70000001046019036,branch
Zhambyl Tower,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Сыганак, 47",,,,Есиль район,Астана,,Астана,Казахстан,"Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 06:00-23:00; Вс: 06:00-23:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,337,87071326064 (отдел аренды),87087267293,,,,,,,,https://wa.me/77071326064,https://wa.me/77087267293,,,,,51.123021,71.434194,https://2gis.com/firm/70000001018091818,branch
Азия,бизнес-центр,Бизнес-центры,"улица Мухтара Ауэзова, 8",1-13 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (администрация: пн-пт 9:00-18:00; перерыв: 13:00-14:00; сб 9:00-15:00),+05:00,4.9,53,87755627585,,,,,,,,,https://wa.me/77755627585,,,,,,51.164745,71.42529,https://2gis.com/firm/70000001023439464,branch
Азия центр,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Алексея Петрова, 18/2",507 офис; 5 этаж,,2а м-н,Алматы район,Астана,,Астана,Казахстан,"Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00 (администрация: пн-вс 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,13,87172344770,87021926600,,,,,,,,,,,,,,51.148002,71.468148,https://2gis.com/firm/70000001028900297,branch
Ака,,Бизнес-центры,"проспект Женис, 79",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,4.9,16,87172948248,87013675319,87172652502,,,,,,,,,,,,,51.189242,71.406814,https://2gis.com/firm/70000001018078643,branch
Альянс,бизнес-центр,Бизнес-центры,"улица Жумекен Нажимеденов, 16а",16А офис; 2 этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,8,87759441585,,,,,,,,,https://wa.me/77759441585,,,,,,51.117423,71.476774,https://2gis.com/firm/70000001044000440,branch
