Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
K Plaza,бизнес-центр,Бизнес-центры,"улица Зеина Шашкина, 24",1 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-18:00,+05:00,4.9,21,87011432518,,,,,,,,,https://wa.me/77011432518,,,,,,43.22269,76.933728,https://2gis.com/firm/70000001066943138,branch
Kaisar Plaza,торгово-офисный центр,Бизнес-центры; Торговые центры,"улица Желтоксан, 115",1 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.9,276,87273250000,,,,,,,,,,,,,,,43.253072,76.938924,https://2gis.com/firm/70000001025970567,branch
Kulan,бизнес-центр,Бизнес-центры,"проспект Достык, 188",101 офис; 1 этаж,050051,,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.8,26,87272598488,87010818557,,,,,,,,https://wa.me/77010818557,,,,,,43.231956,76.960021,https://2gis.com/firm/9429940000788244,branch
Kulan Real Estate,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Пирогова, 31",1 этаж,050040,Коктем-1 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.9,24,87010840205,87273774455,,,,,,,,https://wa.me/77010840205,,,,,,43.229381,76.927551,https://2gis.com/firm/9429940001146200,branch
Nurkent,торгово-административный комплекс,Бизнес-центры; Торговые центры,"микрорайон Нуркент, 57",1-3 этаж,050000,Нуркент м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.9,88,87070313192,,,,,,,,,https://wa.me/77070313192,,,,,,43.253938,76.820663,https://2gis.com/firm/70000001037790317,branch
office hub 128,бизнес-центр,Бизнес-центры,"Жандарбекова улица, 128",,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+05:00,4.9,60,87057755557,,,,,,https://instagram.com/officehub.128,,,https://wa.me/77057755557,,,,,,43.237717,76.898596,https://2gis.com/firm/70000001094580560,branch
Nyr,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Толе би, 73а",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,4.9,58,87073999657,,,,,,,,,https://wa.me/77073999657,,,,,,43.254746,76.934437,https://2gis.com/firm/70000001055108738,branch
Park View Office Tower,бизнес-центр,Бизнес-центры,"улица Кунаева, 77",1 этаж,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,4.9,73,87272733334,87272733335,,,,,,,,,,,,,,43.257982,76.9494,https://2gis.com/firm/9429940001049880,branch
Qonaev,бизнес-центр,Бизнес-центры,"улица Макатаева, 61",1-5 этаж,050004,,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-19:00; Вт: 09:00-13:00, 14:00-19:00; Ср: 09:00-13:00, 14:00-19:00; Чт: 09:00-13:00, 14:00-19:00; Пт: 09:00-13:00, 14:00-19:00",+05:00,4.9,337,87010812685,,,,,,,,,https://wa.me/77760285121,,,,,,43.265009,76.948475,https://2gis.com/firm/70000001041618665,branch
Qstaff,бизнес-центр,Бизнес-центры,"Шумный переулок, 2",1 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,5.0,55,87079545452,87000778818 (администратор),,,,,https://instagram.com/bc_qstaff,,,https://wa.me/77000778818,https://wa.me/77079545452,,,,,43.234478,76.929216,https://2gis.com/firm/70000001038267246,branch
Quorum,бизнес-центр,Бизнес-центры; Аренда помещений,"микрорайон Мамыр-1, 26",609 офис; 6 этаж,050036,Мамыр-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,102,87021221110,,,,,,,,,https://wa.me/77021221110,,,,,,43.211359,76.847905,https://2gis.com/firm/70000001061124792,branch
Raiymbek,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Жангельдина, 31/2",200 офис; 2 этаж,050002,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.9,19,87010812685,,,,,,,,,https://wa.me/77010812685,,,,,,43.270202,76.959471,https://2gis.com/firm/70000001037759940,branch
Samal Towers,бизнес-центр,Бизнес-центры,"микрорайон Самал-2, 97",,050059,Самал-2 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.9,100,87781385373,,,,,,,,,,,,,,,43.233535,76.953925,https://2gis.com/firm/70000001041270357,branch
SAT,бизнес-центр,Бизнес-центры,"улица Каныша Сатпаева, 31",,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,52,87273133823,87027145003,,,,,,,,https://wa.me/77027145003,,,,,,43.23646,76.909496,https://2gis.com/firm/9429940000984857,branch
Satpaev,бизнес-центр,Бизнес-центры; Аренда помещений,"22-я линия, 45",1-3 этаж,050006,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-13:00, 14:00-20:00; Вт: 08:00-13:00, 14:00-20:00; Ср: 08:00-13:00, 14:00-20:00; Чт: 08:00-13:00, 14:00-20:00; Пт: 08:00-13:00, 14:00-20:00",+05:00,4.7,24,87760285124,,,,,,,,,,,,,,,43.226918,76.888752,https://2gis.com/firm/70000001032137546,branch
Seifullin Plaza,бизнес-центр,Бизнес-центры,"проспект Сейфуллина, 469/5",601 офис; 6 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00,+05:00,4.9,29,87085901228,,,,,,https://instagram.com/seifullin.plaza,,,https://wa.me/77085901228,,,,,,43.267156,76.930766,https://2gis.com/firm/70000001100613097,branch
Sibel,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Тлеуберды Сауранбаева, 7/1",3 этаж,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.9,26,87022222608,,,,,,,,,https://wa.me/77022222608,,,,,,43.336259,76.948467,https://2gis.com/firm/70000001029905443,branch
Sirius,бизнес-центр,Бизнес-центры,"улица Торекулова, 68",,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,74,87272376896,87081648587,,,,,,,,,,,,,,43.264902,76.933504,https://2gis.com/firm/70000001023889564,branch
Sm business House,,Бизнес-центры,"улица Кожабекова, 19",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,4.9,64,87079777786,,,,,,,,,,,,,,,43.200787,76.895797,https://2gis.com/firm/70000001094214566,branch
Success,бизнес-центр,Бизнес-центры,"Ораза Жандосова улица, 1/1",1 этаж,050008,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.8,22,87272502355 (приемная),87273922101 (справочная),,,,,,,,,,,,,,43.237651,76.912861,https://2gis.com/firm/9429940001078770,branch
Sulu,бизнес-центр,Бизнес-центры,"проспект Турара Рыскулова, 48а",,050050,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+05:00,4.7,6,87273449013,87761111937,,,,,,,,,,,,,,43.291884,76.93355,https://2gis.com/firm/70000001110489500,branch
Triumph,бизнес-центр,Бизнес-центры,"проспект Достык, 192",,050051,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.9,62,87273250325 (доп.204),87011410101,,,,,,,,,,,,,,43.231688,76.960048,https://2gis.com/firm/70000001028920428,branch
