Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
JY furniture,мебельная компания,Мебельные магазины; Мягкая мебель; Офисная мебель; Мебель для кухни; Сувениры; Корпусная мебель; Мебель на заказ,"Кабдолова улица, 1/8",D линия; 4 блок,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.9,7,87025362687,87014798888,,,,,,,https://instagram.com/king_luxios_,,,https://wa.me/77025362687,https://wa.me/77014798888,,,,,,,43.236085,76.847145,https://2gis.com/firm/70000001067406034,branch
Kudiyarov Factory,​мебельный салон,Мебельные магазины; Мебель на заказ; Мягкая мебель,"проспект Абая, 165/2 блок 12",1 этаж,050046,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:30; Вт: 10:00-18:30; Ср: 10:00-18:30; Чт: 10:00-18:30; Пт: 10:00-18:30; Сб: 10:00-18:30; Вс: 10:00-18:30,+05:00,5.0,73,87470939235,,,,,,,,https://instagram.com/kudiyarov.mebel,,,https://wa.me/77082421858,,,,,,,,43.239557,76.883056,https://2gis.com/firm/70000001081095857,branch
Kupa,магазин мебели,Мебельные магазины; Детская мебель; Мягкая мебель; Корпусная мебель,"Кабдолова улица, 1/8",Б линия; 4 блок,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.9,8,87785157207,,,,,,,,https://instagram.com/kupakids.almaty,,,https://wa.me/77785157207,,,,,,,,43.2365,76.847047,https://2gis.com/firm/70000001077419346,branch
Lilou,мебельный салон,Мебельные магазины; Матрасы; Корпусная мебель,"Кабдолова улица, 1/8",9 бутик; 5 ряд; 2 блок,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,32,87771116541,87051116541,,,,,,,https://instagram.com/lilou.mebel,,,https://wa.me/77771116541,https://wa.me/77051116541,,,,,,,43.236263,76.844793,https://2gis.com/firm/9429940001299609,branch
Luxury.mebel.kz,,Мебельные магазины; Мягкая мебель,"проспект Турара Рыскулова, 143в",3 этаж,050038,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.4,6,87002459101,,,,,,,,https://instagram.com/luxury.mebel.kz,,,https://wa.me/77002459101,,,,,,,,43.253239,76.838383,https://2gis.com/firm/70000001068283499,branch
Mebel.kaz,мебельный салон,Мебельные магазины; Мебель из стекла; Мебель для кухни; Плетёные изделия; Мебель для общественного питания,"Северное Кольцо шоссе, 7",9 ряд,050058,,Жетысуский район,Алматы,,Алматы,Казахстан,Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-17:00; Вс: 09:00-17:00,+05:00,5.0,10,87023244047,,,,,,,,https://instagram.com/mebel.kaz,,,https://wa.me/77023244047,,,,,,,,43.283349,76.890539,https://2gis.com/firm/9429940001237798,branch
mebel.kz,магазин по продаже мебели,Мебельные магазины; Мягкая мебель; Детская мебель; Корпусная мебель; Офисная мебель; Мебель на заказ; Бескаркасная мебель; Домашний текстиль; Ковры; Матрасы; Стеллажи и витрины,"проспект Суюнбая, 2 к7",1 этаж,050016,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.0,10,87717806386,,,,,,,,https://instagram.com/official_mebel.kz,https://facebook.com/ilovemebelkz,https://vk.com/ilovemebelkz,https://wa.me/77717226445,,,,,https://t.me/ilovemebelkz,,,43.273202,76.947687,https://2gis.com/firm/70000001112471199,branch
Mebel.town.kz,мебельный салон,Мебельные магазины; Мягкая мебель,"Кабдолова улица, 1/8",цокольный этаж,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.5,22,87756740011,,,,,,,,https://instagram.com/mebel.town.kz,,,https://wa.me/77756740011,,,,,,,,43.237414,76.84452,https://2gis.com/firm/70000001040756304,branch
Mebelini,мебельный салон,Мебельные магазины; Корпусная мебель; Детская мебель,"Кабдолова улица, 1/8",09 бутик; 7 ряд; 2 блок,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,9,87474743702,,,,,,,,https://instagram.com/mebelini.kz,,,https://wa.me/77474743702,,,,,,,,43.236396,76.845486,https://2gis.com/firm/70000001058928400,branch
Mebellion_almaty,салон мебели,Мебельные магазины; Мягкая мебель; Плетёные изделия; Мебель для кухни; Корпусная мебель,"проспект Турара Рыскулова, 143в",3 этаж,050038,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.4,8,87473717433,,,,,,,,https://instagram.com/mebellion_almaty,,,https://wa.me/77473717433,,,,,,,,43.253443,76.838436,https://2gis.com/firm/70000001083784353,branch
Musta Mebel Company,мебельная компания,Мебельные магазины; Мебель для кухни; Корпусная мебель; Сборка мебели; Офисная мебель; Мягкая мебель; Мебель на заказ; Мебель для ванных комнат; Детская мебель,"Северное Кольцо шоссе, 50",9 место; 7 блок; 2 этаж,050058,,Алатауский район,Алматы,,Алматы,Казахстан,Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,5,87086883998,87011500112,87478059397,,,,,,https://instagram.com/musta_mebel_almaty,,,https://wa.me/77011500112,https://wa.me/77086883998,,,,,,,43.292044,76.889884,https://2gis.com/firm/70000001088984794,branch
Ola,салон кухонной мебели,Мебельные магазины; Мебель на заказ; Мебель для кухни; Корпусная мебель,"Кабдолова улица, 2",7 офис; 1 этаж,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,4.4,15,87017156888,,,,,,,,https://instagram.com/kuhni_ola_almaty,,,https://wa.me/77017156888,,,,,,,,43.23781,76.8584,https://2gis.com/firm/9429940000797297,branch
Optom.stulya.kz,торговая компания,Мебельные магазины; Мебель для общественного питания; Офисная мебель,"Северное Кольцо шоссе, 78/1 блок А",А сектор,050024,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,10,87080429595,87073009595,87080409595,,,,,,https://instagram.com/optom.stulya.kz,,,https://wa.me/77080419595,https://wa.me/77080409595,https://wa.me/77073009595,,,,,,43.309632,76.896664,https://2gis.com/firm/70000001067958007,branch
Regina mebel almaty,мебельный салон,Мебельные магазины; Мягкая мебель,"проспект Турара Рыскулова, 143в",3 этаж,050038,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.4,33,87714444473,87058656969,,,,,,,https://instagram.com/mebel_so_vkusom_almaty_,,,https://wa.me/77714444473,https://wa.me/77058656969,,,,,,,43.253343,76.838606,https://2gis.com/firm/70000001047409527,branch
Samruk mebel Almaty,производственная компания,Мебельные магазины; Садово-парковая мебель; Плетёные изделия,"улица Лобачевского, 78Б",1 этаж,050050,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,29,87789766600,87751579905,,,,,,,https://instagram.com/samrukmebel.almaty,,,https://wa.me/77789766600,https://wa.me/77751579905,,,,https://t.me/+77751579905,,,43.282165,76.924577,https://2gis.com/firm/70000001064449878,branch
Sergio Interiors-Scavolini,салон мебели,Мебельные магазины; Мебель для кухни; Корпусная мебель; Мягкая мебель; Посуда,"проспект Достык, 116","1, 2 этаж",050021,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,5.0,24,87479475909,,,,,,,,https://instagram.com/sergio_interiors,https://facebook.com/salon.sergio,,https://wa.me/77479475909,,,,,,,,43.240221,76.957515,https://2gis.com/firm/9429940000902001,branch
Seven,салон мягкой мебели,Мебельные магазины; Мягкая мебель,"проспект Жибек Жолы, 135",С46 бутик; 3 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,24,87017616915,87078155954,,,,,,,https://instagram.com/seven_almaty,,,https://wa.me/77761106577,,,,,,,,43.261551,76.929207,https://2gis.com/firm/70000001047817198,branch
Seventeen,магазин бытовой техники и мебели,Мебельные магазины; Сантехника; Бытовая техника; Корпусная мебель,"Байдибек би улица, 59",,050024,Байбесик м-н,Алатауский район,Алматы,,Алматы,Казахстан,"Пн: 08:30-13:00, 14:00-18:00; Вт: 08:30-13:00, 14:00-18:00; Ср: 08:30-13:00, 14:00-18:00; Чт: 08:30-13:00, 14:00-18:00; Пт: 08:30-13:00, 14:00-18:00; Сб: 08:30-13:00, 14:00-18:00",+05:00,4.5,39,87026059069,,,,,,,,https://instagram.com/seventeen.furniture,,,https://wa.me/77026059069,,,,,,,,43.313309,76.883955,https://2gis.com/firm/70000001045987143,branch
Shkaf.market.kz,мебельная компания,Мебельные магазины; Корпусная мебель; Мебельные фабрики; Мебель для кухни; Мебель на заказ,"Кабдолова улица, 1/8",8 ряд; D линия,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,19,87007502020,,,,,,,,https://instagram.com/shkaf.market.kz,,,https://wa.me/77007502020,,,,,,,,43.236849,76.845536,https://2gis.com/firm/70000001035871140,branch
Shkaffnur,магазин по продаже корпусной мебели,Мебельные магазины; Мебель на заказ; Корпусная мебель,"улица Ауэзова, 163а",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,69,87056567889,,,,,,,,https://instagram.com/shkaffnur,,,https://wa.me/77056567889,https://wa.me/77021314266,,,,https://t.me/+77021314266,,,43.230964,76.903395,https://2gis.com/firm/9429940000925328,branch
Stol ustel,мебельный салон,Мебельные магазины; Мебель для кухни,"Кабдолова улица, 1/8",9 ряд; C линия; 3 блок,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.5,13,87056684883,,,,,,,,https://instagram.com/stol_ustel,,,https://wa.me/77056684883,,,,,,,,43.23651,76.845957,https://2gis.com/firm/70000001021120436,branch
Tak yassi mebel,мебельный салон,Мебельные магазины; Мебель для кухни,"Кабдолова улица, 1/8",F линия; 3 блок,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,1.9,5,87757310677,87014959915,,,,,,,https://instagram.com/tak_yassi_mebel,,,https://wa.me/77757310677,https://wa.me/77022852128,,,,,,,43.236893,76.84541,https://2gis.com/firm/70000001092028613,branch
woodland.kz,компания по изготовлению мебели,Мебельные магазины; Дизайн интерьеров; Мебель для ванных комнат; Матрасы; Мебель для культурно-досуговых учреждений; Мебель для кухни; Мебель для общественного питания; Мебель для салонов красоты; Мебель для учебных учреждений; Мебель из стекла; Мебельная фурнитура; Мебельные ткани; Мебельные фасады; Металлическая мебель; Межкомнатные двери; Мягкая мебель; Надувная мебель и бассейны; Бескаркасная мебель; Мебель на заказ; Корпусная мебель; Офисная мебель; Детская мебель,"улица Ескелды батыра, 46/1",,050024,Дархан м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+05:00,4.9,69,87000920924,87066606602,,,,,,,https://instagram.com/woodland.kz,,,https://wa.me/77000920924,,,,,,,,43.319424,76.882588,https://2gis.com/firm/70000001060056408,branch
Zamansofas,мебельный магазин,Мебельные магазины; Мягкая мебель; Мебель на заказ; Детская мебель,"улица Навои, 208/2",цокольный этаж,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.7,17,87081253609,,,,,,,,https://instagram.com/zamansofas.kz,,,https://wa.me/77081253609,,,,,,,,43.206594,76.886513,https://2gis.com/firm/70000001082588075,branch
Ар-Най,мебельный салон,Мебельные магазины; Мебель на заказ; Корпусная мебель; Мебель для кухни; Офисная мебель,"Кабдолова улица, 1/8",20а бутик; 6 ряд; H линия; 2 блок,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.8,6,87272619151,87084818844,,,,,,,https://instagram.com/arnai_jihaz.kz,,,https://wa.me/77084818844,,,,,,,,43.237139,76.844505,https://2gis.com/firm/70000001034291129,branch
Вегас Казахстан,"фирменный магазин матрасов, кроватей и других аксессуаров для сна",Мебельные магазины; Матрасы; Корпусная мебель; Домашний текстиль; Ортопедические товары,"Северное Кольцо шоссе, 3/1",210-219 бутик; зеленый сектор; 3 этаж,050058,,Жетысуский район,Алматы,,Алматы,Казахстан,Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.5,14,87077167037,,,eshop@vegas.kz,,,,,https://instagram.com/vegas_official.kz,https://facebook.com/vegaskazakhstan,,https://wa.me/77077167037,,,,,https://t.me/vegaskz_bot,,https://youtube.com/@VegasMatrasTV,43.277163,76.887785,https://2gis.com/firm/70000001046570581,branch
Казбек,магазин мебели,Мебельные магазины; Корпусная мебель; Детская мебель; Мебель для кухни; Мягкая мебель,"проспект Абылай хана, 21",,040901,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,4.9,60,87024159121,87024476939,,,,,,,https://instagram.com/kaz.mebel.kz,,,https://wa.me/77024159121,https://wa.me/77024476939,,,,,,,43.201519,76.649053,https://2gis.com/firm/70000001060058734,branch
Мебель By Izmailov,мебельный магазин,Мебельные магазины; Мебельная фурнитура; Мебель для кухни,"улица Жамбыла, 71",8 бутик; 2 этаж,,,,,Жамбылский район,Алматинская область,Казахстан,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-17:00; Вс: 09:00-17:00,+05:00,5.0,26,87074269677,87085246457,87054125525,,,,,,https://instagram.com/mebel_uzynagash,,,https://wa.me/77085246457,https://wa.me/77074269677,,,,,,,43.222048,76.304529,https://2gis.com/firm/70000001106062290,branch
Салон Белорусской мебели,,Мебельные магазины; Мягкая мебель; Корпусная мебель; Мебель на заказ; Мебель для кухни,"Северное Кольцо шоссе, 3/1",оранжевый сектор; 3 этаж,050058,,Жетысуский район,Алматы,,Алматы,Казахстан,Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,5.0,31,87073407071,,,,,,,,https://instagram.com/mebelbykz,,,https://wa.me/77073407071,https://wa.me/77059800021,,,,,,,43.27654,76.887683,https://2gis.com/firm/70000001038278859,branch
