Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
5 plus,магазин канцелярских товаров,Косметика и парфюмерия; Канцтовары; Уголки самообслуживания EGOV,"улица Жанкожа батыра, 139",8 кабинет; 1 этаж,050065,Шанырак-2 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,3.7,6,87074018393,87074432345,87077476457,,,,,https://instagram.com/5_plus_almaty,,,,https://wa.me/77074018381,https://wa.me/77074018393,,,,,,,43.298137,76.850974,https://2gis.com/firm/70000001047889013,branch
ABLstore.kz,магазин уходовой косметики,Косметика и парфюмерия,"Кашгарская улица, 77",1 этаж,050022,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,121,87757851665,,,,,,,https://instagram.com/ablstore.kz,,https://facebook.com/asian.beauty.lab.byskak,,https://wa.me/77757851665,,,,,,,,43.240439,76.92884,https://2gis.com/firm/70000001055863051,branch
Ademi Parfum,магазин парфюмерии,Косметика и парфюмерия,"улица Ардагер, 34",,40921,,,,Карасайский район,Алматинская область,Казахстан,Пн: 18:00-24:00; Вт: 18:00-24:00; Ср: 18:00-24:00; Чт: 18:00-24:00; Пт: 18:00-24:00; Сб: 18:00-24:00; Вс: 18:00-24:00 (по предварительной записи),+05:00,5.0,19,87074461811,,,,,,,https://instagram.com/ademi.parfum,,,,https://wa.me/77074461811,,,,https://t.me/+77074461811,,,,43.259597,76.776018,https://2gis.com/firm/70000001102622717,branch
Adiami,магазин косметики,Косметика и парфюмерия,"улица Утеген батыра, 6",,050031,Тастак-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-14:00 (по предварительному звонку: сб),+05:00,3.5,14,87016103646,87075295689,,,,,,https://instagram.com/adiami_kz,,,,,,,,,,,,43.250735,76.853363,https://2gis.com/firm/70000001096369403,branch
Adore perfume,бутик парфюмерии,Косметика и парфюмерия,"8-й микрорайон, 37/1",1 этаж,050006,8-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,24,87077910033,,,,,,,https://instagram.com/adore_perfume01,,,,,,,,,,,,43.227985,76.86478,https://2gis.com/firm/70000001095849407,branch
Aewshop_kz,магазин парфюмерии и косметики,Косметика и парфюмерия; Часы; Бижутерия; Сумки и кожгалантерея; Контактные линзы,"улица Наурызбай батыра, 60",,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 12:00-20:00; Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-20:00; Вс: 12:00-20:00,+05:00,4.9,307,87089227398,,,,,,,https://instagram.com/aewshop_kz,,,,https://wa.me/77089227398,,,,,,,,43.258547,76.935947,https://2gis.com/firm/70000001079116503,branch
Ai shop almaty,интернет-магазин,Косметика и парфюмерия; Сумки и кожгалантерея; Часы; Игрушки; Детская одежда,"улица Хамраева, 37",,041609,,,,Талгарский район,Алматинская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,9,87785589260,,,,,,,https://instagram.com/aishop_almaty__,,,,https://wa.me/77785589260,,,,,,,,43.30335,77.042217,https://2gis.com/firm/70000001081814987,branch
Aiadi,магазин товаров для дома,Косметика и парфюмерия; Посуда; Керамические изделия,"улица Кабанбай батыра, 45",231 бутик; 2 этаж,40000,,,Талдыкорган,Талдыкорган городская администрация,Жетысу область,Казахстан,Пн: 09:00-18:30; Вт: 09:00-18:30; Ср: 09:00-18:30; Чт: 09:00-18:30; Пт: 09:00-18:30; Сб: 09:00-18:30; Вс: 09:00-18:30,+05:00,4.6,20,87780872321,,,,,,,https://instagram.com/aiadi_shop_tdk,,,,https://wa.me/77780872321,,,,,,,,45.019669,78.379221,https://2gis.com/firm/70000001095227981,branch
Aila market,магазин хозтоваров,Косметика и парфюмерия; Хозтовары; Канцтовары; Бижутерия,"улица Жапсарбаева, 16",,050024,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,5.0,15,87089003116,,,,,,,,,,,https://wa.me/77089003116,,,,,,,,43.31553,76.895472,https://2gis.com/firm/70000001091766513,branch
Ainadan_beauty,бутик по продаже косметики,Косметика и парфюмерия,"8-й микрорайон, 37/1",1 этаж,050006,8-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,23,87476026971,,,,,,,,,,,https://wa.me/77476026971,,,,,,,,43.227649,76.864331,https://2gis.com/firm/70000001095516808,branch
Ais parfum,магазин парфюмерии,Косметика и парфюмерия,"Кульджинский тракт, 98а",1 этаж,,,,,Талгарский район,Алматинская область,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,10,87470388003,,,,,,,https://instagram.com/ais_parfumm,,,,https://wa.me/77470388003,,,,,,,,43.342512,77.050952,https://2gis.com/firm/70000001115782132,branch
Aisha shop,магазин женской одежды,Косметика и парфюмерия; Женская одежда; Сумки и кожгалантерея; Нижнее бельё; Мусульманская одежда,"улица Аксай, 1",3 бутик; 2 этаж,050047,Саялы м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,6,87072854193,87072854191,,,,,,https://instagram.com/aisha_shop_4,,,,https://wa.me/77072854193,,,,,,,,43.312979,76.842136,https://2gis.com/firm/70000001092874460,branch
Aizhan key,магазин,Косметика и парфюмерия,"улица Ауэзова, 82",611 офис; 6 этаж,050008,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.0,12,87775185534,,,,,,,https://instagram.com/aizhan_key_shop,,,,https://wa.me/77775185534,,,,,,,,43.238525,76.904546,https://2gis.com/firm/70000001032963714,branch
AkDi,магазин,Косметика и парфюмерия; Бижутерия,"4-й микрорайон, 28",215 бутик; 2 этаж,050062,4-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,23,87078897158,,,,,,,https://instagram.com/akdi_92,,,,https://wa.me/77078897158,,,,https://t.me/+77078897158,,,,43.230574,76.85666,https://2gis.com/firm/70000001112717499,branch
Aktore Prof Magazin,супермаркет бытовых товаров и косметики,Косметика и парфюмерия; Бытовая химия; Хозтовары; Женская одежда,"улица Айтеке би, 26а","1, 2 этаж",041600,,,Талгар,Талгарский район,Алматинская область,Казахстан,Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,3.9,46,87479526212,87272956021,87759895181,,,,,https://instagram.com/aktore_prof_magazin,,,,https://wa.me/77479526212,,,,,,,,43.306792,77.243307,https://2gis.com/firm/70000001045376973,branch
Al musk,островок по продаже парфюма,Косметика и парфюмерия; Ароматовары,"улица Тимирязева, 42 к3",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,70,87078490039,,,,,,,https://instagram.com/almusk_perfume,,,,https://wa.me/77078490039,,,,,,,,43.225027,76.908352,https://2gis.com/firm/70000001110828378,branch
Ali Perfume & Flowers,цветочный салон,Косметика и парфюмерия; Цветы,"улица Акан Серы, 106",,050037,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 11:00-04:00; Вт: 11:00-04:00; Ср: 11:00-04:00; Чт: 11:00-04:00; Пт: 11:00-04:00; Сб: 11:00-04:00; Вс: 11:00-04:00,+05:00,5.0,22,87066333313,,,,,,,https://instagram.com/ali_perfume_flowers,,,,https://wa.me/77066333313,,,,,,,,43.317241,76.944635,https://2gis.com/firm/70000001109568647,branch
Aliden,бутик по продаже наливной парфюмерии,Косметика и парфюмерия,"Кабдолова улица, 1/4",5 блок,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,33,87017409989,87081844136,,,,,,https://instagram.com/aliden_parfum,,,,https://wa.me/77017409989,https://wa.me/77081844136,,,,,,,43.237495,76.849345,https://2gis.com/firm/70000001067112030,branch
All I Need,бутик косметики,Косметика и парфюмерия,"проспект Назарбаева, 223",А23 бутик; 1 этаж,050059,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,20,87478372776,,,,,,,https://instagram.com/allineed.kz,,,,https://wa.me/77478372776,,,,,,,,43.232783,76.948348,https://2gis.com/firm/70000001040945465,branch
Alla parfums,магазин парфюмерии,Косметика и парфюмерия,"улица Байтурсынова, 43",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 11:00-18:00,+05:00,5.0,33,87080433304,,,,,,,https://instagram.com/alla_parfums,,,,https://wa.me/77080433304,,,,,,,,43.2529,76.925479,https://2gis.com/firm/9429940000843364,branch
Allinday,магазин косметики,Косметика и парфюмерия; Хозтовары,"улица Орманова, 54",цокольный этаж,40008,,,Талдыкорган,Талдыкорган городская администрация,Жетысу область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.4,6,87784444318,,,,,,,https://instagram.com/optom_allinday,,,,https://wa.me/77784444318,,,,,,,,45.013663,78.368798,https://2gis.com/firm/70000001111496131,branch
Allinday,магазин косметики,Косметика и парфюмерия; Бытовая химия,"проспект Турара Рыскулова, 103/3",1 бутик; 3 этаж,050061,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 11:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,185,87758880145,87784444318,,,,,,https://instagram.com/optom_allinday,,,,https://wa.me/77758880145,https://wa.me/77784444318,,,https://t.me/allinday,,,,43.266973,76.869835,https://2gis.com/firm/70000001035503486,branch
Alma Parfum,парфюмерный магазин,Косметика и парфюмерия,"микрорайон Аксай-2, 53",1 этаж,050031,Аксай-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,15,87026084048,,,,,,,https://instagram.com/alma_parfum_kz,,,,https://wa.me/77026084048,,,,,,,,43.238345,76.839009,https://2gis.com/firm/70000001111120265,branch
Almon Kz,торговая компания,Косметика и парфюмерия; Средства гигиены; Бытовая химия; Диетические продукты,"проспект Назарбаева, 311",2 офис; 1 этаж,050059,,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-12:00, 13:00-17:00; Вт: 08:00-12:00, 13:00-17:00; Ср: 08:00-12:00, 13:00-17:00; Чт: 08:00-12:00, 13:00-17:00; Пт: 08:00-12:00, 13:00-17:00",+05:00,4.2,10,87272645399,87272644860,,,,,,https://instagram.com/almon_kz,,,,https://wa.me/77076390197,,,,,,,,43.219532,76.954111,https://2gis.com/firm/9429940000785376,branch
Amazing,интернет-магазин мультибрендовой косметики,Косметика и парфюмерия,,,,,,Алматы,,Алматы,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,4.9,16,87472969098,87470536558,,,,,,https://instagram.com/amazing.skn,,,,https://wa.me/77472969098,https://wa.me/77470536558,,,,,,,,,https://2gis.com/firm/70000001067002226,branch
aMBra,магазин,Косметика и парфюмерия; Аксессуары к телефонам; Солнцезащитные очки; Помощь в подключении услуг связи,"проспект Абая, 34",,050022,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+05:00,5.0,16,87713598026,,,,,,,https://instagram.com/ambra.shop.almaty,,,,https://wa.me/77713598026,,,,,,,,43.241231,76.932853,https://2gis.com/firm/70000001114430769,branch
Ambrette,бутик парфюмерии,Косметика и парфюмерия,"Северное Кольцо шоссе, 3/1",23 бутик; синий сектор; 2 этаж,050058,,Жетысуский район,Алматы,,Алматы,Казахстан,Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,3.0,5,87762110006,,,,,,,https://instagram.com/ambrette.kz,,,,https://wa.me/77762110006,,,,,,,,43.277543,76.887846,https://2gis.com/firm/70000001083044693,branch
Amore_beauty.kaskelen,магазин косметики,Косметика и парфюмерия; Бижутерия; Солнцезащитные очки,"проспект Абылай хана, 175",,040901,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.4,8,87757016567,,,,,,,https://instagram.com/amore_beauty.kaskelen,,,,https://wa.me/77757016567,,,,,,,,43.200618,76.630507,https://2gis.com/firm/70000001100560852,branch
Amway,интернет-магазин,Косметика и парфюмерия; Бытовая химия; БАДы; Домашний текстиль,"улица Алга, 7",,40719,,,,Илийский район,Алматинская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,8,87015835171,87714534829,,,,,,https://instagram.com/alpysbayevy,,,,https://wa.me/77714534829,https://wa.me/77015835171,,,,,,,43.507111,76.836977,https://2gis.com/firm/70000001111069548,branch
Amway,интернет-магазин,Косметика и парфюмерия; БАДы,"улица Федосеева, 38в к7",,050054,Жас Канат м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,5.0,8,87473808251,,,,,,,https://instagram.com/alimbekgulzat,,,,https://wa.me/77473808251,,,,,,,,43.317201,76.974227,https://2gis.com/firm/70000001084107368,branch
Amway,магазин косметики,Косметика и парфюмерия; БАДы; Бытовая химия,"улица Жунисова, 12/6",1 этаж,050035,,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00 (по предварительному звонку),+05:00,5.0,5,87051234442,,,,,,,,,,,https://wa.me/77051234442,,,,,,,,43.221065,76.785409,https://2gis.com/firm/70000001104550558,branch
ani.koreancosmetics,магазин косметики,Косметика и парфюмерия,"проспект Жибек Жолы, 53",43 бутик; новый павильон; 1 этаж,050002,,Медеуский район,Алматы,,Алматы,Казахстан,Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,6,87079956956,,,,,,,https://instagram.com/ani.koreancosmetics,,,,https://wa.me/77079956956,,,,,,,,43.264421,76.954757,https://2gis.com/firm/70000001090569932,branch
AniMart,магазин подарочных товаров,Косметика и парфюмерия; Солнцезащитные очки; Сувениры,"улица Ю. Гагарина, 106/110",1 этаж,040008,,,Талдыкорган,Талдыкорган городская администрация,Жетысу область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.9,33,87713597046,,,,,,,https://instagram.com/animart.tdk,,,,https://wa.me/77713597046,,,,,,,,45.016979,78.358009,https://2gis.com/firm/70000001080354990,branch
Ans Perfume,магазин парфюмерии,Косметика и парфюмерия,"Кульджинский тракт, 1/5а",,,,,,Талгарский район,Алматинская область,Казахстан,"Пн: 11:30-22:00; Вт: 11:30-22:00; Ср: 11:30-22:00; Чт: 11:30-22:00; Пт: 11:30-13:00, 14:00-22:00; Сб: 11:30-22:00; Вс: 11:30-22:00",+05:00,5.0,19,87000999235,87086540717,,,,,,https://instagram.com/ansperfumee,,,,https://wa.me/77000999235,,,,,,,,43.35398,77.06868,https://2gis.com/firm/70000001114249691,branch
Apteka-China 999,,Косметика и парфюмерия; БАДы; Средства гигиены; Фитопродукция,"Северное Кольцо шоссе, 118/6",39-40 бутик; 1 этаж,050024,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00; Сб: 08:00-17:00; Вс: 08:00-17:00,+05:00,3.7,13,87017109281,,,,,,,https://instagram.com/apteka_china999,,,,https://wa.me/77017109281,,,,,,,,43.322193,76.900139,https://2gis.com/firm/70000001079577820,branch
Arafan perfume,магазин парфюмерии,Косметика и парфюмерия,"проспект Достык, 108Б",справа от входа,050021,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,29,87472886509,,,,,,,https://instagram.com/arafan.perfume,,,,https://wa.me/77472886509,,,,https://t.me/+77472886509,,,,43.240886,76.957396,https://2gis.com/firm/70000001102671992,branch
Árekette Bereket,бутик по продаже парфюмерии и мусульманских товаров,Косметика и парфюмерия; Религиозные товары,"улица Коримдик, 1 киоск",,050019,Кайрат м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,5.0,57,87073232414,,,,,,,https://instagram.com/bekparfume,,,,https://wa.me/77073232414,,,,,,,,43.312794,76.99269,https://2gis.com/firm/70000001105647693,branch
Arena beauty house,,Косметика и парфюмерия; Домашний текстиль; Женская одежда; Бижутерия,"микрорайон Гажайып, 33",1 этаж,,Гажайып м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,4.7,7,87077353345,,,,,,,https://instagram.com/arena_beautyhouse,,,,https://wa.me/77077353345,,,,,,,,43.274169,76.812299,https://2gis.com/firm/70000001111544211,branch
